Sample,Phase,Lab,Protocol,Individual,SI_sample,Run_accession,Instrument_model,Library_layout,Nominal_length,id,n
A1_003,2,1,H,A,A1_003,ERR1539491,Illumina HiSeq 2000,PAIRED,636,1,1
A1_010,2,1,H,A,A1_010,ERR1539450,Illumina HiSeq 2000,PAIRED,620,1,1
A1_019,2,1,H,A,A1_019,ERR1539454,Illumina HiSeq 2000,PAIRED,636,1,1
A1_020,2,1,H,A,A1_020,ERR1539413,Illumina HiSeq 2000,PAIRED,582,1,1
A1_026,2,15,H,A,A1_026,ERR1539569,Illumina HiSeq 2000,PAIRED,635,1,1
A1_028,2,15,Q,A,A1_028,ERR1539389,Illumina HiSeq 2000,PAIRED,522,1,1
A1_029,2,15,W,A,A1_029,ERR1539579,Illumina HiSeq 2000,PAIRED,559,1,1
A1_030,2,15,Q,A,A1_030,ERR1539518,Illumina HiSeq 2000,PAIRED,453,1,1
A1_036,2,15,H,A,A1_036,ERR1539455,Illumina HiSeq 2000,PAIRED,612,1,1
A1_038,2,15,Q,A,A1_038,ERR1539457,Illumina HiSeq 2000,PAIRED,534,1,1
A1_039,2,15,W,A,A1_039,ERR1539613,Illumina HiSeq 2000,PAIRED,609,1,1
A1_040,2,15,Q,A,A1_040,ERR1539474,Illumina HiSeq 2000,PAIRED,558,1,1
A1_046,2,15,H,A,A1_046,ERR1539411,Illumina HiSeq 2000,PAIRED,418,1,1
A1_047_1,2,1,Q,A,A1_047,ERR1539342,Illumina HiSeq 2000,PAIRED,349,1,2
A1_047_2,2,1,Q,A,A1_047,ERR1539417,Illumina HiSeq 2000,PAIRED,349,2,2
A1_048,2,15,Q,A,A1_048,ERR1539366,Illumina HiSeq 2000,PAIRED,569,1,1
A1_049,2,15,W,A,A1_049,ERR1539542,Illumina HiSeq 2000,PAIRED,568,1,1
A1_050,2,15,Q,A,A1_050,ERR1539525,Illumina HiSeq 2000,PAIRED,638,1,1
A1_078,2,6,Q,A,A1_078,ERR1539617,Illumina HiSeq 2000,PAIRED,591,1,1
A1_079,2,6,Q,A,A1_079,ERR1539603,Illumina HiSeq 2000,PAIRED,600,1,1
A1_080,2,6,Q,A,A1_080,ERR1539398,Illumina HiSeq 2000,PAIRED,545,1,1
A1_082_1,2,1,Q,A,A1_082,ERR1539349,Illumina HiSeq 2000,PAIRED,450,1,2
A1_082_2,2,1,Q,A,A1_082,ERR1539605,Illumina HiSeq 2000,PAIRED,450,2,2
A1_087_1,2,1,Q,A,A1_087,ERR1539484,Illumina HiSeq 2000,PAIRED,333,1,2
A1_087_2,2,1,Q,A,A1_087,ERR1539593,Illumina HiSeq 2000,PAIRED,333,2,2
A1_088,2,6,W,A,A1_088,ERR1539649,Illumina HiSeq 2000,PAIRED,722,1,1
A1_089,2,6,W,A,A1_089,ERR1539608,Illumina HiSeq 2000,PAIRED,661,1,1
A1_090,2,6,W,A,A1_090,ERR1539576,Illumina HiSeq 2000,PAIRED,711,1,1
A1_098,2,6,H,A,A1_098,ERR1539638,Illumina HiSeq 2000,PAIRED,588,1,1
A1_099,2,6,H,A,A1_099,ERR1539403,Illumina HiSeq 2000,PAIRED,599,1,1
A1_100,2,6,H,A,A1_100,ERR1539596,Illumina HiSeq 2000,PAIRED,633,1,1
A1_120,2,1,W,A,A1_120,ERR1539402,Illumina HiSeq 2000,PAIRED,556,1,1
A1_132,2,1,W,A,A1_132,ERR1539422,Illumina HiSeq 2000,PAIRED,553,1,1
A1_137,2,1,W,A,A1_137,ERR1539634,Illumina HiSeq 2000,PAIRED,654,1,1
A1_176,2,9,H,A,A1_176,ERR1539628,Illumina HiSeq 2000,PAIRED,557,1,1
A1_177,2,9,H,A,A1_177,ERR1539571,Illumina HiSeq 2000,PAIRED,661,1,1
A1_178,2,9,H,A,A1_178,ERR1539483,Illumina HiSeq 2000,PAIRED,743,1,1
A1_186_1,2,9,Q,A,A1_186,ERR1539420,Illumina HiSeq 2000,PAIRED,422,1,2
A1_186_2,2,9,Q,A,A1_186,ERR1539533,Illumina HiSeq 2000,PAIRED,422,2,2
A1_187_1,2,9,Q,A,A1_187,ERR1539516,Illumina HiSeq 2000,PAIRED,473,1,2
